eta,DeltaE_eV,NLL
0.06723357536499334,0.011288378916846888,0.7104952324158521
0.06723357536499334,0.01438449888287663,0.7104952324158521
0.06723357536499334,0.018329807108324356,0.7104952324158521
0.06723357536499334,0.023357214690901212,0.7104952324158521
0.06723357536499334,0.029763514416313176,0.7104952324158521
0.06723357536499334,0.0379269019073225,0.7104952324158521
0.06723357536499334,0.04832930238571752,0.7104952324158521
0.06723357536499334,0.06158482110660261,0.7104952324158521
0.06723357536499334,0.07847599703514611,0.7104952324158521
0.06723357536499334,0.1,0.7104952324158521
0.08531678524172806,0.001,0.7106187508588864
0.08531678524172806,0.0012742749857031334,0.7106187508588864
0.08531678524172806,0.001623776739188721,0.7106187508588864
0.08531678524172806,0.00206913808111479,0.7106187508588864
0.08531678524172806,0.0026366508987303583,0.7106187508588864
0.08531678524172806,0.003359818286283781,0.7106187508588864
0.08531678524172806,0.004281332398719396,0.7106187508588864
0.08531678524172806,0.00545559478116852,0.7106187508588864
0.08531678524172806,0.0069519279617756054,0.7106187508588864
0.08531678524172806,0.008858667904100823,0.7106187508588864
0.08531678524172806,0.011288378916846888,0.7106187508588864
0.08531678524172806,0.01438449888287663,0.7106187508588864
0.08531678524172806,0.018329807108324356,0.7106187508588864
0.08531678524172806,0.023357214690901212,0.7106187508588864
0.08531678524172806,0.029763514416313176,0.7106187508588864
0.08531678524172806,0.0379269019073225,0.7106187508588864
0.08531678524172806,0.04832930238571752,0.7106187508588864
0.08531678524172806,0.06158482110660261,0.7106187508588864
0.08531678524172806,0.07847599703514611,0.7106187508588864
0.08531678524172806,0.1,0.7106187508588864
0.10826367338740546,0.001,0.7107755642166883
0.10826367338740546,0.0012742749857031334,0.7107755642166883
0.10826367338740546,0.001623776739188721,0.7107755642166883
0.10826367338740546,0.00206913808111479,0.7107755642166883
0.10826367338740546,0.0026366508987303583,0.7107755642166883
0.10826367338740546,0.003359818286283781,0.7107755642166883
0.10826367338740546,0.004281332398719396,0.7107755642166883
0.10826367338740546,0.00545559478116852,0.7107755642166883
0.10826367338740546,0.0069519279617756054,0.7107755642166883
0.10826367338740546,0.008858667904100823,0.7107755642166883
0.10826367338740546,0.011288378916846888,0.7107755642166883
0.10826367338740546,0.01438449888287663,0.7107755642166883
0.10826367338740546,0.018329807108324356,0.7107755642166883
0.10826367338740546,0.023357214690901212,0.7107755642166883
0.10826367338740546,0.029763514416313176,0.7107755642166883
0.10826367338740546,0.0379269019073225,0.7107755642166883
0.10826367338740546,0.04832930238571752,0.7107755642166883
0.10826367338740546,0.06158482110660261,0.7107755642166883
0.10826367338740546,0.07847599703514611,0.7107755642166883
0.10826367338740546,0.1,0.7107755642166883
0.1373823795883263,0.001,0.710974672290672
0.1373823795883263,0.0012742749857031334,0.710974672290672
0.1373823795883263,0.001623776739188721,0.710974672290672
0.1373823795883263,0.00206913808111479,0.710974672290672
0.1373823795883263,0.0026366508987303583,0.710974672290672
0.1373823795883263,0.003359818286283781,0.710974672290672
0.1373823795883263,0.004281332398719396,0.710974672290672
0.1373823795883263,0.00545559478116852,0.710974672290672
0.1373823795883263,0.0069519279617756054,0.710974672290672
0.1373823795883263,0.008858667904100823,0.710974672290672
0.1373823795883263,0.011288378916846888,0.710974672290672
0.1373823795883263,0.01438449888287663,0.710974672290672
0.1373823795883263,0.018329807108324356,0.710974672290672
0.1373823795883263,0.023357214690901212,0.710974672290672
0.1373823795883263,0.029763514416313176,0.710974672290672
0.1373823795883263,0.0379269019073225,0.710974672290672
0.1373823795883263,0.04832930238571752,0.710974672290672
0.1373823795883263,0.06158482110660261,0.710974672290672
0.1373823795883263,0.07847599703514611,0.710974672290672
0.1373823795883263,0.1,0.710974672290672
0.17433288221999882,0.001,0.7112275228538808
0.17433288221999882,0.0012742749857031334,0.7112275228538808
0.17433288221999882,0.001623776739188721,0.7112275228538808
0.17433288221999882,0.00206913808111479,0.7112275228538808
0.17433288221999882,0.0026366508987303583,0.7112275228538808
0.17433288221999882,0.003359818286283781,0.7112275228538808
0.17433288221999882,0.004281332398719396,0.7112275228538808
0.17433288221999882,0.00545559478116852,0.7112275228538808
0.17433288221999882,0.0069519279617756054,0.7112275228538808
0.17433288221999882,0.008858667904100823,0.7112275228538808
0.17433288221999882,0.011288378916846888,0.7112275228538808
0.17433288221999882,0.01438449888287663,0.7112275228538808
0.17433288221999882,0.018329807108324356,0.7112275228538808
0.17433288221999882,0.023357214690901212,0.7112275228538808
0.17433288221999882,0.029763514416313176,0.7112275228538808
0.17433288221999882,0.0379269019073225,0.7112275228538808
0.17433288221999882,0.04832930238571752,0.7112275228538808
0.17433288221999882,0.06158482110660261,0.7112275228538808
0.17433288221999882,0.07847599703514611,0.7112275228538808
0.17433288221999882,0.1,0.7112275228538808
0.2212216291070449,0.001,0.7115486868249137
0.2212216291070449,0.0012742749857031334,0.7115486868249137
0.2212216291070449,0.001623776739188721,0.7115486868249137
0.2212216291070449,0.00206913808111479,0.7115486868249137
0.2212216291070449,0.0026366508987303583,0.7115486868249137
0.2212216291070449,0.003359818286283781,0.7115486868249137
0.2212216291070449,0.004281332398719396,0.7115486868249137
0.2212216291070449,0.00545559478116852,0.7115486868249137
0.2212216291070449,0.0069519279617756054,0.7115486868249137
0.2212216291070449,0.008858667904100823,0.7115486868249137
0.2212216291070449,0.011288378916846888,0.7115486868249137
0.2212216291070449,0.01438449888287663,0.7115486868249137
0.2212216291070449,0.018329807108324356,0.7115486868249137
0.2212216291070449,0.023357214690901212,0.7115486868249137
0.2212216291070449,0.029763514416313176,0.7115486868249137
0.2212216291070449,0.0379269019073225,0.7115486868249137
0.2212216291070449,0.04832930238571752,0.7115486868249137
0.2212216291070449,0.06158482110660261,0.7115486868249137
0.2212216291070449,0.07847599703514611,0.7115486868249137
0.2212216291070449,0.1,0.7115486868249137
0.2807216203941177,0.001,0.7119567253295223
0.2807216203941177,0.0012742749857031334,0.7119567253295223
0.2807216203941177,0.001623776739188721,0.7119567253295223
0.2807216203941177,0.00206913808111479,0.7119567253295223
0.2807216203941177,0.0026366508987303583,0.7119567253295223
0.2807216203941177,0.003359818286283781,0.7119567253295223
0.2807216203941177,0.004281332398719396,0.7119567253295223
0.2807216203941177,0.00545559478116852,0.7119567253295223
0.2807216203941177,0.0069519279617756054,0.7119567253295223
0.2807216203941177,0.008858667904100823,0.7119567253295223
0.2807216203941177,0.011288378916846888,0.7119567253295223
